Address-City|Address-Country|Address-State|Address-Street Direction|Address-Street Name|Address-Street Number|Address-Unit Number|Address-Zip|Appliance Description|Association Fee|Cooling Description|Directions|Garage Description|Heating Description|List Date|Lot Description|Lot Size-Acres|MLS Board|Listing Agent ID|Listing Agent Name|Listing Office ID|Listing Office Name|Listing Office Phone|Listing Modified Date|MLS Number|Property Type|Amenities|Pool Description|Price|Property Class|Room Count-Total Bedrooms|Room Count-Total Full Baths|Room Count-Total Half Baths|Room Count-Total Rooms|School District|School-Elementary|School-High|School-Middle|Sewer|SQFT|Tax|Tax ID|Tax Year|Year Built|MLS Listing Status|Remarks|Basement Description|Basement YN|Golf Club YN|Horse Facilities YN|Health Club YN|Display Address on Internet YN|Virtual Tour URL|List Agent E-Mail Address|Fireplaces|Relocation Membership ID|RentalType|RentalPrice|CountyName|Subdivision|ExteriorAmenities|Listing CoAgent ID|Listing CoAgent Name
LAFAYETTE|USA|CA||165 Arbor View Lane|||94549|Fire Sprinklers,Garage Door Opener|302.00|None||||2017-11-29 23:23:00|Corner,Court,Cul-De-Sac,Secluded|0.567|EBRDIMCG|159511123|Karen Richardson|CCAPR01|Orinda||2018-02-01 01:08:12|40804694|Single Family|||2995000.00|Single Family|5|5|1||Acalanes (925) 280-3900|||||4785||||2017|Active|Luxury homebuilder presents exquisite finishes & superior craftsmanship in this Tuscan Mediterranean Villa. Showcasing impeccable design, 165 Arbor View Lane features extended ceilings throughout the home, unprecedented attention to detail, and stunning views at every turn. European Oak floors lead you through the home into the gourmet kitchen with high-end built in appliances. The great room boasts a show-stopping, floor-to-ceiling, hand-set stone fireplace. Enjoy the outdoors no matter the weather! A wall of French doors whisk you outside to the expansive loggia complete with fireplace, speakers, lights, and cable hookup. The master suite is your own private escape, featuring an in-room fireplace, huge walk-in closet, and generous walk-in shower. Glorious views greet you as you stroll through the halls & make your way to the upstairs family room with built in bar. Sweeping hills, fresh air, top rated schools- just a few of the many luxuries this home has to offer.||N|N|N|N|Y|http://www.tourfactory.com/idxr1862019|krichardson@apr.com||12176|||Contra Costa||||
PLEASANTON|USA|CA||47 Silver Oaks Ct|||94566|Garage Door Opener,Tankless Water Heater||None||||2017-11-29 23:24:00|Premium Lot,Secluded,Horse Setup|1.75|EBRDIMCG|206518799|Tim McGuire|ML37608|Pleasanton / Livermore Valley||2018-01-29 14:34:09|40804695|Single Family|||4250000.00|Single Family|5|5|1||Pleasanton (925) 462-5500|||||6186||||2017|Pending|A one of a kind masterpiece exquisite in every detail! Nestled high on a bluff in an Oak studded canyon with captivating views of nature and wildlife from every window. This exclusive, gated residence will provide a lifestyle experience that will endure a legacy for future generations. Award winning design by William Hezmalhalch Architects has created a contemporary Mediterranean estate with stunning appointments and interior features. Wide plank, white Oak floors, an expansive great room with 22ft high ceilings and a gourmet kitchen with Quartzite counters, chevron tile backsplash and top of the line stainless steel appliances. Conveniently located just minutes from top rated schools, downtown Pleasanton, Ruby Hill Golf & Country Club and dozens of award winning local area wineries....Silver Oaks Estates - Life Well Lived!||N|N|N|N|Y|http://www.tourfactory.com/idxr1885846|tmcguire@apr.com||12176|||Alameda||||
ALAMO|USA|CA||3454 Stone Valley Rd|||94507|Garage Door Opener,Mirrored Closet Door(s),Water Heater Gas,Window Coverings|650.00|None||||2017-12-06 18:29:00|Premium Lot|0.358|EBRDIMCG|159519228|Suzy Peck|CCAPR|Danville / Blackhawk||2018-02-01 01:08:12|40805173|Single Family|||1550000.00|Single Family|6|3|0||San Ramon Valley (925) 552-5500|||||3243||||1985|Active|Beautiful Custom Harold Smith Traditional home in Bryan Ranch! Highly sought after 6bd/3ba, 3,243 sq. ft. +/-, sprawling single story home which has been meticulously maintained. Home features a well appointed kitchen that opens to family room, hardwood floors, plantation shutters, vaulted ceilings and more! Abundant storage. Backyard is an oasis with large patio for entertaining, sparkling pool and spa, built-in play structure for kids, all backing up to private open space. Newly landscaped front & back yards. Open House 1/21, 1-4pm||N|N|N|N|Y|https://protect-us.mimecast.com/s/1dqnBYCYWo9YtE|speck@apr.com||12176|||Contra Costa||||
HAYWARD|USA|CA||617 Santina Dr|||94541|Garage Door Opener,Security Alarm - Owned,Stereo Speakers Built-In,Window Coverings,Other|223.00|None||||2017-12-16 02:58:00|Corner||EBRDIMCG|206517587|Kim Richards|ML37608|Pleasanton / Livermore Valley||2018-01-29 14:34:54|40805856|Single Family|||719950.00|Single Family|3|3|1|||||||1723||||2016|Pending|Stunning Water Tower development Townhome! Shows like a model!! Perfect commuter location! Features include: &#226;&#128;&#162; End unit &#226;&#128;&#162; Extra windows for natural light &#226;&#128;&#162; 3 Bedroom &#226;&#128;&#162; 3.5 Bathrooms &#226;&#128;&#162; Approx. 1723 sq ft &#226;&#128;&#162; Beautiful great room &#226;&#128;&#162; Security Alarm System &#226;&#128;&#162; Upgraded window coverings &#226;&#128;&#162; Wired Surround Sound &#226;&#128;&#162; Upgraded Kitchen &#226;&#128;&#162; Granite Countertops &#226;&#128;&#162; Black tile back splash &#226;&#128;&#162; Mahogany colored cabinets &#226;&#128;&#162; Soft close kitchen cabinets &#226;&#128;&#162; Built in Cabinet in living room &#226;&#128;&#162; Pendent Lighting over Island &#226;&#128;&#162; Large balcony off dining area &#226;&#128;&#162; Upgraded tie flooring in Kitchen and Dining &#226;&#128;&#162; Small wet bar &#226;&#128;&#162; First Floor bedroom included full bathroom &#226;&#128;&#162; Half bath on main floor &#226;&#128;&#162; Master suite includes walk-in closet and upgraded bathroom &#226;&#128;&#162; Second suite upstairs includes private bathroom||N|N|N|N|Y|http://www.tourfactory.com/idxr1908956|krichards@apr.com||12176|||Alameda||||
ALAMO|USA|CA||3102 Sandstone Rd|||94507|Garage Door Opener,Water Heater Gas,Window Coverings||None||||2018-01-01 18:26:00|Court,Level,Premium Lot|0.601|EBRDIMCG|159506584|Lou Plummer|CCAPR|Danville / Blackhawk||2018-02-01 01:08:12|40806327|Single Family|||2395000.00|Single Family|5|5|0|||||||5187||||1991|Active|Grandeur and charm&#226;&#128;&#166;this custom English Country Manor, in an enclave of private estate properties, is stunning. Meticulous craftsmanship is evident in heavy wood beamed ceilings and wainscoting. Chef's kitchen with deep, hammered copper, farmhouse sink, center island, Wolf gas range and oven, wine cellar, pantry and spacious, open breakfast eating area. Adjacent family room with hickory flooring and fireplace. Separate game/bonus room with mini kitchen area and full bath...with its separate entrance this could be a guest suite. Flat, nearly 2/3 ac., densely landscaped grounds, on a quiet court. Heavily treed yard and trimmed shrubbery pathways. Secluded pool and spa. Roundhill golf and tennis Country Club, award winning San Ramon Valley schools, and the Village of Alamo, plus 3 BART stations are all easily accessible from this exquisite estate.||N|N|N|N|Y|http://www.tourfactory.com/idxr1896178|lou@apr.com||12176|||Contra Costa||||
MILPITAS|USA|CA||1618 Calera Creek Heights Dr|||95035|Central Vacuum,Garage Door Opener,Water Softener System|2640.00|None||||2018-01-04 18:56:00|Adj To/On Golf Course,Premium Lot|1.5|EBRDIMCG|206513313|Kelly King|ML37608|Pleasanton / Livermore Valley||2018-01-29 14:35:43|40806528|Single Family|||2398000.00|Single Family|4|4|1|||||||4951||||1987|Pending|Rarely available home in the beautiful Calera Creek Heights gated community! Only 11 homes located in this 55 acre development. Nestled atop of the rolling hills and offering stunning panoramic views. Overlooking Summitpointe golf course, windows abound in this lovely custom home. 3 bedrooms and 3.5 on main level of the home, 1 bedroom and kitchenette/living area downstairs with full bath. Maintenance free landscaping and nearly 15 different kinds of fruit trees adorn this lovely 1.5 acre property. Well appointed and Loaded with parking. Custom and intricate woodworking throughout. All bedrooms offer their own bathrooms. Adorned with an abundant use of granite throughout. see list of amenities at home.||N|N|N|N|Y|http://www.tourfactory.com/idxr1912116|lkking@apr.com||12176|||Santa Clara||||
WALNUT CREEK|USA|CA||1523 Camino Verde|||94597|Dryer,Mirrored Closet Door(s),Washer||None||||2018-01-04 22:05:00|Level,Up Slope|0.259|EBRDIMCG|204000187|Linda Lewis|CCAPR03|Walnut Creek||2018-01-29 14:35:46|40806562|Single Family|||925000.00|Single Family|4|2|0|||||||2011||||1962|Pending|Immaculate, move-in ready 4 Bed. single story Beauty in fantastic location. Close to Lunardi's, Starbucks, restaurants & Larkey Park's pool and tennis courts. Light & bright, spacious family room opens to large deck for summer barbeques. Enjoy lazy, luxurious afternoons in private, sunny garden. Or relax by the fire in inviting living room. Great home for entertaining. Wood floors, stainless appliances, designer colors. Single story makes easy living & large master bedroom is a wonderful retreat.||N|N|N|N|Y||llewis@apr.com||12176|||Contra Costa||||
WALNUT CREEK|USA|CA||1710 SISKIYOU DR|||94598-2121|Garage Door Opener,Satellite Dish - Owned,Water Heater Gas|285.00|None||||2018-01-08 16:31:00|Adj To/On Golf Course,Level|0.046|EBRDIMCG|159519950|Ray Kozak|CCAPR03|Walnut Creek||2018-01-29 14:36:08|40806802|Single Family|||749900.00|Single Family|3|2|1||Mount Diablo (925) 682-8000|||||1578||||1972|Pending|This open and contemporary Diablo Hills tri-level townhouse is a secluded end unit located at the end of the cul-de-sac. Upon entering the home, you are greeted by a living room filled with natural light, hardwood floors, recessed lighting, vaulted ceilings and a wood burning fireplace. You can continue downstairs to the spacious kitchen with granite counters, updated cabinets, almost new LG refrigerator and Samsung range and oven. There is a sun filled dining area that overlooks the patio. Upstairs has three bedrooms and two full bathrooms. The master bedroom and bath have been updated with glass doors and rain shower head in the bath and wood flooring in the bedrooms. This is a great location close to Heather Farms Park, John Muir Hospital, Downtown Walnut Creek, BART and the freeways. It is also located within the highly sought after Northgate school boundaries. There is an abundance of parking on the cul de sac, two car garage and room for two more cars in the driveway.||N|N|N|N|Y|http://www.tourfactory.com/idxr1913777|rkozak@apr.com||12176|||Contra Costa||||
CONCORD|USA|CA||746 Santa Susanna Ct|||94518|Garage Door Opener,Water Heater Gas,Window Coverings||None||||2018-01-08 20:18:00|Court,Level|0.193|EBRDIMCG|159519228|Suzy Peck|CCAPR|Danville / Blackhawk||2018-01-29 14:36:10|40806827|Single Family|||796000.00|Single Family|4|2|1||Mount Diablo (925) 682-8000|||||1878||||1964|Pending|Spacious two story home with traditional floor plan located in quiet Cul-de-sac. Updated throughout with new carpet, exterior and interior paint, recessed lighting, tank less water heater and 3 year old roof. Gas fireplace in Living room. Large master suite with updated bathroom. Two car attached garage and sunny indoor laundry room. Huge flat backyard for entertaining and enjoying. Flower/Garden beds and shed. Close to the new Orchards Walnut Creek Shopping Center & schools. Not to be missed!||N|N|N|N|Y|http://www.tourfactory.com/idxr1913624|speck@apr.com||12176|||Contra Costa||||
MARTINEZ|USA|CA||208 Arreba St|||94553|Garage Door Opener||None||||2018-01-09 01:25:00|Corner|0.085|EBRDIMCG|159505879|Lori Legler|CCAPR01|Orinda||2018-01-29 14:36:13|40806864|Single Family|||950000.00|Single Family|3|3|0|||||||2593||||2010|Pending|Almost new! This sophisticated home offers a uniquely flexible floor plan. The main house (1909 Sq Ft) features the ability for both floors to function as separate living spaces. A studio (684 Sq Ft) with a separate entrance sits atop the extra-large detached two-car garage and was used by the current owner as his professional photography studio. It's Perfect for extended family, home office/studio or potential rental income. Minutes to downtown Martinez. Open Sun 1-4.||N|N|N|N|Y|http://www.208arreba.com/unbranded|llegler@apr.com||12176|||Contra Costa||||
CASTRO VALLEY|USA|CA||3797 Almond Ct|||94546|Dryer,Washer||None||||2018-01-09 22:10:00|Cul-De-Sac,Regular|0.134|EBRDIMCG|206509385|Leslie Faught|ML37608|Pleasanton / Livermore Valley||2018-01-29 14:36:18|40806921|Single Family|||729000.00|Single Family|3|2|0|||||||1198||||1957|Pending|Welcome Home! This move in ready home has beautiful hard wood floors, new interior paint, dual pane windows, owned solar, washer, dryer, refridgerator, new microwave, partial unfinished basement, cul-de-sac location and close to great schools. Come by to see this beautiful home for OPEN HOUSE on Wednesday, January 9th from 10am to 4pm, Saturday - January 13th - 12:00 to 4:00 pm, Sunday, January 14th - 12:00 to 4:00 pm.||N|N|N|N|Y|http://www.tourfactory.com/idxr1913977|Leslie@apr.com||12176|||Alameda||||
DUBLIN|USA|CA||6836 Amador Valley Blvd|||94568|Water Heater Gas||None||||2018-01-10 20:33:00|Level,Regular|0.121|EBRDIMCG|159506820|Stuart Steele|CCAPR|Danville / Blackhawk||2018-01-29 14:36:27|40807008|Single Family|||765500.00|Single Family|4|2|0||Dublin (925) 828-2551|||||1638||||1967|Pending|&#226;&#128;&#156;METICULOUSLY REMODELED SINGLE STORY&#226;&#128;&#157;.New Gleaming Hardwood floors, Crisp White Baseboards & a Sun drenched Family Room.Open Floor Plan & A Newly Remodeled Chef&#226;&#128;&#153;s Kitchen.New Gas Range. New Cabinetry, New Stainless Steel Appliances, Soft Touch Drawers w/a perfectly placed Center island.New Lighting Upgrades & you have a Kitchen of Pride for years to come. Spacious bedrooms, newly Painted w/Designer Colors, High End Ceiling fans & Closet Organizers.One of the most Popular Floor Plans in the area.Combined w/Flow & Functionality this Beauty has a Spacious Yard brimming w/Privacy & Imagination.Newer Composition Roof, New Exterior Paint, 2 car garage & Tons of Storage. Best Price Point in all Dublin.Craftsman work, complete w/permits in the last 12 months.Centrally located to all 12 grades of school, Superior Freeway access, Hiking trails & best of shopping.Must see opportunity & investment. Marvel at your Good Luck! It's a 10! Open house 1/13 & 1/14 1-4pm||N|N|N|N|Y|https://protect-us.mimecast.com/s/Vg2dCpY92LIqEgjRSPADwW|stuart@apr.com||12176|||Alameda||||
DUBLIN|USA|CA||3251 CENTRAL PKWY.|||94568|Fire Sprinklers,Garage Door Opener,Washer,Water Filter System,Water Softener System,Window Coverings,Other,Tankless Water Heater|300.00|None||||2018-01-11 21:57:00|Level,Regular,Zero Lot Line||EBRDIMCG|206551059|Linda Traurig|ML37608|Pleasanton / Livermore Valley||2018-01-29 14:36:43|40807176|Single Family|||830000.00|Single Family|3|2|1||Dublin (925) 828-2551|||||1951||||2015|Pending|Open House Sat. and Sunday, 1/20 and 1/21, 1:00 to 4:00. Please see this beautiful 2 story condo, short distance to schools, shopping, BART and the new Kaiser Campus just around the corner, walking distance to almost everything. This newer condo, built in 2015 has 3 bedrooms, 2.5 bathrooms, and is ADA compliant if needed. Loads of upgrades incl. hdwd. floors, upgraded carpeting, beautiful doors, stainless steel appliances, upgraded lighting, refrigerator, washer and dryer are included. High ceilings, very large master suite which includes a master retreat, en-suite master bath with oversized tub & beautifully designed oversized shower. 2nd bedroom could be a second master suite. Finished 2 car (also oversized) garage with extra room for storage. Water softener owned, tankless water heater, wired for solar, wired for surround sound, and includes connections for wireless access. This is a great home that includes access to comm. pool, gym/exercise facility, clubhouse and more!||N|N|N|N|Y|http://www.tourfactory.com/idxr1917099|ltraurig@apr.com||12176|||Alameda||||
UNION CITY|USA|CA||4158 Glenwood Ter, # 2|||94587|Dryer,Fire Sprinklers,Garage Door Opener,Washer,Water Heater Gas,Window Coverings|248.00|None||||2018-01-12 05:41:00|Court,Level||EBRDIMCG|206513146|Kat Gaskins|ML37608|Pleasanton / Livermore Valley||2018-01-29 14:36:48|40807231|Single Family|||749000.00|Single Family|3|2|1||New Haven (510) 471-1100|||||1683||||2001|Pending|SO MUCH FOR SO LITTLE! LOW HOA DUES $248/MO - NO RENTAL RESTRICTIONS - LOVELY 2-STORY ATTACHED HOME WITH NEW CARPET AND PAD - REFRESHED INTERIOR PAINT - CENTRAL HEAT AND A/C - RAISED PANEL DOORS - RECESSED LIGHTING - DUAL PANE WINDOWS - NEUTRAL DECOR - LOTS OF NATURAL LIGHT - 1683+/-SF OPEN FLOOR PLAN - LARGE LIVING ROOM WITH FIREPLACE - 3 GENEROUS BEDROOMS - 2.5 BATHS - LOTS OF CLOSET SPACE - WALK IN CLOSETS IN ALL BEDROOMS - OPEN KITCHEN WITH BREAKFAST BAR, PANTRY, GAS STOVE, MICROWAVE, DISHWASHER & REFRIGERATOR - INSIDE LAUNDRY - WASHER & DRYER STAY - STUCCO EXTERIOR - 2 CAR ATTACHED GARAGE - GREAT LOCATION CLOSE TO SHOPPING AND EZ COMMUTE-PRICED BELOW LAST SALE! BETTER HURRY-WON'T LAST! OPEN SAT & SUN 1-4PM 1-13 & 1/14.||N|N|N|N|Y|http://www.tourfactory.com/idxr1918171|kgaskins@apr.com||12176|||Alameda||||
PLEASANTON|USA|CA||7857 Driftwood Way|||92588|Dryer,Garage Door Opener,Washer,Water Heater Gas|360.00|None||||2018-01-12 05:54:00|Regular|0.151|EBRDIMCG|159510708|Jo Ann Luisi|ML37608|Pleasanton / Livermore Valley||2018-01-29 14:36:48|40807232|Single Family|||938000.00|Single Family|6|2|1||Pleasanton (925) 462-5500|||||2086||||1966|Pending|6 bedroom, 2 story home in the desirable Highland Oaks neighborhood! Great location. Literally around the corner from award winning Lydiksen Elementary, community pool, parks, and about a half mile from Foothill High School. Home features new granite counters, refinished hardwood floors, freshly painted interior, new baseboards, copper piping, dual pane windows, low maintenance landscape, new fences, and so much more. Go to our property website for an interactive virtual tour and printable floor plan that includes approximate room measurements.||N|N|N|N|Y|http://www.tourfactory.com/idxr1890863|jluisi@apr.com||12176|||Alameda||||
